Trial number,Fixation Onset NEV,Image Onset NEV,NoName,Stim on/off NEV,Stim onset NEV,Stim offset NEV,Congruent Value NEV,Valence Value NEV,Reaction time NEV,NoName1,NoName2,TrialNum,Delay1,Delay2,TrialComplete,TimeImageOnset,ColorLev,TimeRec,TimeTrial,StartTrial,CrossStart,ResponseTime,BlockNumber,TrialTypeDesignation
321.0,1250.188,1250.204,1250.188,1.0,1250.188,1250.204,,1.0,,1250.188,1250.204,32.0,1.5,1.75,32.0,25.3595,0.0,182186.7648,26.1607,,,,5.0,2.0
322.0,1251.004,1251.021,1251.004,1.0,1251.004,1251.021,,1.0,,1251.004,1251.021,33.0,2.75,2.25,33.0,26.1767,0.0,182187.5815,26.9774,,,,5.0,2.0
323.0,1251.822,1251.839,1251.822,1.0,1251.822,1251.839,,1.0,,1251.822,1251.839,34.0,2.0,3.25,34.0,26.9942,0.0,182188.3991,27.795,,,,5.0,2.0
324.0,1252.64,1252.656,1252.64,1.0,1252.64,1252.656,,1.0,,1252.64,1252.656,35.0,2.75,2.5,35.0,27.8115,0.0,182189.217,28.6129,,,,5.0,2.0
325.0,1253.457,1253.474,1253.457,1.0,1253.457,1253.474,,1.0,,1253.457,1253.474,36.0,3.75,1.75,36.0,28.6292,0.0,182190.0344,29.4303,,,,5.0,2.0
326.0,1254.275,1254.291,1254.275,1.0,1254.275,1254.291,,1.0,,1254.275,1254.291,37.0,3.25,3.25,37.0,29.4466,1.0,182190.8518,30.2477,,,,5.0,2.0
327.0,1255.092,1255.109,1255.092,1.0,1255.092,1255.109,,1.0,,1255.092,1255.109,38.0,2.0,2.5,38.0,30.264,0.0,182191.669,31.0649,,,,5.0,2.0
328.0,1255.91,1255.926,1255.91,1.0,1255.91,1255.926,,1.0,,1255.91,1255.926,39.0,1.0,1.0,39.0,31.0815,1.0,182192.4868,31.8827,,,,5.0,2.0
329.0,1256.727,1256.744,1256.727,1.0,1256.727,1256.744,,1.0,,1256.727,1256.744,40.0,2.5,3.25,40.0,31.899,0.0,182193.3042,32.7001,,,,5.0,2.0
330.0,1257.545,1257.561,1257.545,1.0,1257.545,1257.561,,1.0,,1257.545,1257.561,41.0,3.75,1.25,41.0,32.7165,0.0,182194.1217,33.5176,,,,5.0,2.0
331.0,1258.362,1258.379,1258.362,1.0,1258.362,1258.379,,1.0,,1258.362,1258.379,42.0,2.5,2.25,42.0,33.5341,1.0,182194.9392,34.3351,,,,5.0,3.0
